Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2019,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,NL,CL,,91300,,live,,T,D
2019,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,BR,,278.13,,bones,g,S,W
2019,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,BR,,130.33,,specimens,g,S,W
2019,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,BR,,25.05,,bones,g,S,W
2019,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,BR,,4.52,,specimens,g,S,W
2019,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,BR,,21,,bones,g,S,W
2019,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,BR,,4.43,,specimens,g,S,W
2019,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,BR,,34.33,,bones,g,S,W
2019,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,BR,,62.56,,specimens,g,S,W
2019,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,BR,,4.8,,bones,g,S,W
2019,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,BR,,0.03,,specimens,g,S,W
2019,I,Balaenoptera omurai,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,BR,,2.23,,specimens,g,S,W
2019,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,FR,BR,,2,,bones,,S,W
2019,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,JP,BR,,3.28,,bones,g,S,W
2019,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,JP,BR,,2.26,,specimens,g,S,W
2019,I,Eretmochelys imbricata,Reptilia,Testudines,Cheloniidae,Eretmochelys,PA,CR,PA,18,,jewellery,,P,W
2019,I,Eretmochelys imbricata,Reptilia,Testudines,Cheloniidae,Eretmochelys,PA,MX,PA,40,,jewellery,,P,W
2019,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,CN,CO,,100,100,skins,,T,D
2019,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,DE,CO,,724,724,skins,,T,D
2019,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,DK,CO,,,250,skins,,T,D
2019,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,ES,CO,,50,100,skins,,T,D
2019,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,GB,BZ,,,60,specimens,,S,W
2019,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,HK,CO,,14,66,skins,,T,D
2019,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,IT,CO,,330,330,skins,,T,D
2019,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,JP,CO,,324,324,skins,,T,D
2019,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,KR,CO,,,2163,skins,,T,D
2019,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,MX,CO,,,900,skins,,T,D
2019,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,VN,CO,,,500,skins,ml,T,D
2019,I,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,VN,CO,,,1500,skins,,T,D
2019,I,Crocodylus intermedius,Reptilia,Crocodylia,Crocodylidae,Crocodylus,DK,VE,,7,,live,,Z,C
2019,I,Crocodylus rhombifer,Reptilia,Crocodylia,Crocodylidae,Crocodylus,ES,CU,,1,,bodies,,T,D
2019,I,Crocodylus rhombifer,Reptilia,Crocodylia,Crocodylidae,Crocodylus,IT,CU,,,4,skins,,T,D
2019,I,Sotalia guianensis,Mammalia,Cetacea,Delphinidae,Sotalia,FR,BR,,6,,bones,,S,W
2019,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DO,CU,,,4,ivory carvings,,T,U
2019,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CL,XX,2,,ivory carvings,,Q,O
2019,I,Loxodonta spp.,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,CO,XX,6,,ivory carvings,,P,O
2019,I,Loxodonta spp.,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,CO,XX,,6,trophies,,P,O
2019,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,BR,CD,8,,ivory carvings,,P,O
2019,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,AR,BR,,1,,live,,N,W
2019,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,ES,MX,,1,,trophies,,H,C
2019,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,DK,BR,XX,9,,hair,g,S,W
2019,I,Cyclura cychlura,Reptilia,Sauria,Iguanidae,Cyclura,XX,BS,,,50,specimens,,S,W
2019,I,Dalbergia nigra,,Fabales,Leguminosae,Dalbergia,IT,BR,XX,1,,wood product,,T,O
2019,I,Dalbergia nigra,,Fabales,Leguminosae,Dalbergia,LU,BR,,1,,carvings,,P,O
2019,I,Dalbergia nigra,,Fabales,Leguminosae,Dalbergia,LU,BR,,2,,carvings,,,O
2019,I,Aerangis ellisii,,Orchidales,Orchidaceae,Aerangis,DE,EC,,2,,live,,T,D
2019,I,Orchidaceae spp.,,Orchidales,Orchidaceae,,BO,EC,,,32,live,,T,D
2019,I,Orchidaceae spp.,,Orchidales,Orchidaceae,,CA,EC,,,380,live,,T,D
2019,I,Orchidaceae spp.,,Orchidales,Orchidaceae,,CH,EC,,,24,live,,T,D
2019,I,Orchidaceae spp.,,Orchidales,Orchidaceae,,CN,EC,,,68,live,,T,D
2019,I,Orchidaceae spp.,,Orchidales,Orchidaceae,,CZ,EC,,,6,live,,T,D
2019,I,Orchidaceae spp.,,Orchidales,Orchidaceae,,DE,EC,,,1191,live,,T,D
2019,I,Orchidaceae spp.,,Orchidales,Orchidaceae,,FR,EC,,,13,live,,T,D
2019,I,Orchidaceae spp.,,Orchidales,Orchidaceae,,GT,EC,,,48,live,,T,D
2019,I,Orchidaceae spp.,,Orchidales,Orchidaceae,,JP,EC,,,26,live,,T,D
2019,I,Orchidaceae spp.,,Orchidales,Orchidaceae,,MY,EC,,,58,live,,T,D
2019,I,Orchidaceae spp.,,Orchidales,Orchidaceae,,PH,EC,,,20,live,,T,D
2019,I,Orchidaceae spp.,,Orchidales,Orchidaceae,,RU,EC,,,39,live,,T,D
2019,I,Orchidaceae spp.,,Orchidales,Orchidaceae,,SG,EC,,,68,live,,T,D
2019,I,Orchidaceae spp.,,Orchidales,Orchidaceae,,TW,EC,,,327,live,,T,D
2019,I,Orchidaceae spp.,,Orchidales,Orchidaceae,,ZA,EC,,,94,live,,T,D
2019,I,Paphiopedilum callosum,,Orchidales,Orchidaceae,Paphiopedilum,DE,EC,,4,,live,,T,D
2019,I,Paphiopedilum insigne,,Orchidales,Orchidaceae,Paphiopedilum,DE,EC,,3,,live,,T,D
2019,I,Peristeria elata,,Orchidales,Orchidaceae,Peristeria,CW,EC,,,1,live,,T,D
2019,I,Peristeria elata,,Orchidales,Orchidaceae,Peristeria,DE,EC,,19,,live,,T,D
2019,I,Peristeria elata,,Orchidales,Orchidaceae,Peristeria,SG,EC,,,2,live,,T,D
2019,I,Phragmipedium andreettae,,Orchidales,Orchidaceae,Phragmipedium,DE,EC,,20,1,live,,T,D
2019,I,Phragmipedium besseae,,Orchidales,Orchidaceae,Phragmipedium,DE,EC,,274,10,live,,T,D
2019,I,Phragmipedium besseae,,Orchidales,Orchidaceae,Phragmipedium,SG,EC,,,51,live,,T,D
2019,I,Phragmipedium besseae,,Orchidales,Orchidaceae,Phragmipedium,TW,EC,,,3,live,,T,D
2019,I,Phragmipedium boissierianum,,Orchidales,Orchidaceae,Phragmipedium,CN,EC,,50,,specimens,,T,D
2019,I,Phragmipedium boissierianum,,Orchidales,Orchidaceae,Phragmipedium,DE,EC,,83,,live,,T,D
2019,I,Phragmipedium caudatum,,Orchidales,Orchidaceae,Phragmipedium,CN,EC,,50,,specimens,,T,D
2019,I,Phragmipedium caudatum,,Orchidales,Orchidaceae,Phragmipedium,CZ,EC,,3,,live,,G,D
2019,I,Phragmipedium caudatum,,Orchidales,Orchidaceae,Phragmipedium,CZ,EC,,,2,live,,T,D
2019,I,Phragmipedium caudatum,,Orchidales,Orchidaceae,Phragmipedium,DE,EC,,19,,live,,T,D
2019,I,Phragmipedium dalessandroi,,Orchidales,Orchidaceae,Phragmipedium,DE,EC,,8,,live,,T,D
2019,I,Phragmipedium dalessandroi,,Orchidales,Orchidaceae,Phragmipedium,SG,EC,,,1,live,,T,D
2019,I,Phragmipedium fischeri,,Orchidales,Orchidaceae,Phragmipedium,DE,EC,,34,,live,,T,D
2019,I,Phragmipedium fischeri,,Orchidales,Orchidaceae,Phragmipedium,TW,EC,,,2,live,,T,D
2019,I,Phragmipedium hirtzii,,Orchidales,Orchidaceae,Phragmipedium,CZ,EC,,2,,live,,G,D
2019,I,Phragmipedium hirtzii,,Orchidales,Orchidaceae,Phragmipedium,CZ,EC,,,2,live,,T,D
2019,I,Phragmipedium hirtzii,,Orchidales,Orchidaceae,Phragmipedium,DE,EC,,65,,live,,T,D
2019,I,Phragmipedium humboldtii,,Orchidales,Orchidaceae,Phragmipedium,DE,EC,,150,2,live,,T,D
2019,I,Phragmipedium humboldtii,,Orchidales,Orchidaceae,Phragmipedium,SG,EC,,,2,live,,T,D
2019,I,Phragmipedium humboldtii,,Orchidales,Orchidaceae,Phragmipedium,TW,EC,,,2,live,,T,D
2019,I,Phragmipedium hybrid,,Orchidales,Orchidaceae,Phragmipedium,DE,EC,,71,,live,,T,D
2019,I,Phragmipedium hybrid,,Orchidales,Orchidaceae,Phragmipedium,SG,EC,,,20,live,,T,D
2019,I,Phragmipedium klotzschianum,,Orchidales,Orchidaceae,Phragmipedium,DE,EC,,2,,live,,T,D
2019,I,Phragmipedium kovachii,,Orchidales,Orchidaceae,Phragmipedium,DE,EC,,22,,live,,T,D
2019,I,Phragmipedium kovachii,,Orchidales,Orchidaceae,Phragmipedium,SG,EC,,,5,live,,T,D
2019,I,Phragmipedium lindenii,,Orchidales,Orchidaceae,Phragmipedium,CZ,EC,,1,,live,,G,D
2019,I,Phragmipedium lindenii,,Orchidales,Orchidaceae,Phragmipedium,DE,EC,,76,,live,,T,D
2019,I,Phragmipedium lindenii,,Orchidales,Orchidaceae,Phragmipedium,TW,EC,,,1,live,,T,D
2019,I,Phragmipedium lindleyanum,,Orchidales,Orchidaceae,Phragmipedium,DE,EC,,1,,live,,T,D
2019,I,Phragmipedium longifolium,,Orchidales,Orchidaceae,Phragmipedium,CN,EC,,50,,specimens,,T,D
2019,I,Phragmipedium longifolium,,Orchidales,Orchidaceae,Phragmipedium,DE,EC,,43,,live,,T,D
2019,I,Phragmipedium longifolium,,Orchidales,Orchidaceae,Phragmipedium,TW,EC,,,16,live,,T,D
2019,I,Phragmipedium pearcei,,Orchidales,Orchidaceae,Phragmipedium,DE,EC,,113,1,live,,T,D
2019,I,Phragmipedium pearcei,,Orchidales,Orchidaceae,Phragmipedium,SG,EC,,,1,live,,T,D
2019,I,Phragmipedium pearcei,,Orchidales,Orchidaceae,Phragmipedium,TW,EC,,,6,live,,T,D
2019,I,Phragmipedium roethianum,,Orchidales,Orchidaceae,Phragmipedium,CZ,EC,,1,,live,,G,D
2019,I,Phragmipedium schlimii,,Orchidales,Orchidaceae,Phragmipedium,CZ,EC,,3,,live,,G,D
2019,I,Phragmipedium schlimii,,Orchidales,Orchidaceae,Phragmipedium,CZ,EC,,,2,live,,T,D
2019,I,Phragmipedium schlimii,,Orchidales,Orchidaceae,Phragmipedium,DE,EC,,133,7,live,,T,D
2019,I,Phragmipedium schlimii,,Orchidales,Orchidaceae,Phragmipedium,SG,EC,,,10,live,,T,D
2019,I,Phragmipedium schlimii,,Orchidales,Orchidaceae,Phragmipedium,TH,EC,,,10,live,,T,D
2019,I,Phragmipedium schlimii,,Orchidales,Orchidaceae,Phragmipedium,TW,EC,,,7,live,,T,D
2019,I,Phragmipedium warszewiczianum,,Orchidales,Orchidaceae,Phragmipedium,CZ,EC,,,1,live,,T,D
2019,I,Phragmipedium warszewiczianum,,Orchidales,Orchidaceae,Phragmipedium,DE,EC,,61,,live,,T,D
2019,I,Phragmipedium warszewiczianum,,Orchidales,Orchidaceae,Phragmipedium,JP,EC,,,5,live,,T,D
2019,I,Phragmipedium warszewiczianum,,Orchidales,Orchidaceae,Phragmipedium,SG,EC,,,34,live,,T,D
2019,I,Phragmipedium warszewiczianum,,Orchidales,Orchidaceae,Phragmipedium,TH,EC,,,10,live,,T,D
2019,I,Selenipedium aequinoctiale,,Orchidales,Orchidaceae,Selenipedium,CZ,EC,,,1,live,,T,D
2019,I,Amazona leucocephala,Aves,Psittaciformes,Psittacidae,Amazona,PA,CO,CU,1,1,live,,P,W
2019,I,Amazona leucocephala,Aves,Psittaciformes,Psittacidae,Amazona,PA,CU,CO,1,,live,,P,W
2019,I,Anodorhynchus hyacinthinus,Aves,Psittaciformes,Psittacidae,Anodorhynchus,TH,BR,,2,,live,,B,C
2019,I,Ara rubrogenys,Aves,Psittaciformes,Psittacidae,Ara,PH,BR,,4,,live,,B,C
2019,I,Guarouba guarouba,Aves,Psittaciformes,Psittacidae,Guarouba,AE,BR,,20,,live,,T,C
2019,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,CA,HN,,,1,live,,,
2019,I,Trichechus manatus,Mammalia,Sirenia,Trichechidae,Trichechus,XX,DO,GP,,4,carvings,,Q,W
2019,I,Tremarctos ornatus,Mammalia,Carnivora,Ursidae,Tremarctos,GB,CO,,,34,specimens,ml,S,W
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,AU,UY,,,131.292,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,BB,UY,,,115.09,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,BR,UY,,,30.02,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,BS,UY,,,80.273,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CA,UY,,,232.414,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CH,UY,,,89.713,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CN,UY,,,1.5,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CO,UY,,,50.35,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,DK,UY,,50.115,170.841,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,ES,UY,,,201.142,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,FR,UY,,718.084,778.284,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,GB,UY,,,20.46,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,GR,UY,,,372.171,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,IS,UY,,,20.044,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,IT,UY,,,20.086,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,JP,UY,,501.361,544.379,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,MX,UY,,,39.99,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,NL,UY,,,50.747,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,NO,UY,,2.315,7.695,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,NZ,UY,,,170.413,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,OM,UY,,,50.567,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,PR,UY,,,30,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,PT,UY,,,40.062,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,PY,UY,,,1.25,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,RU,UY,,,1818.144,caviar,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,RU,UY,,,38453.7,meat,kg,T,C
2019,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,SG,UY,,656,461.19,caviar,kg,T,C
2019,II,Acipenser baerii x gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,AU,UY,,,51.1,caviar,kg,T,C
2019,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,AE,UY,,11,,caviar,kg,T,C
2019,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,AU,UY,,,147.252,caviar,kg,T,C
2019,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,BE,UY,,,2,caviar,kg,T,C
2019,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CH,UY,,,100.66,caviar,kg,T,C
2019,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CN,UY,,,1.788,caviar,kg,T,C
2019,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,ES,UY,,36.95,48.08,caviar,kg,T,C
2019,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,FR,UY,,877.266,814.13,caviar,kg,T,C
2019,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,HK,UY,,60.51,,eggs,kg,T,C
2019,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,JP,UY,,600,,caviar,g,T,C
2019,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,JP,UY,,0.6,0.6,caviar,kg,T,C
2019,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,NL,UY,,,21.5,caviar,kg,T,C
2019,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,NO,UY,,6.72,9.86,caviar,kg,T,C
2019,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,PY,UY,,,0.83,caviar,kg,T,C
2019,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,QA,UY,,,2.56,caviar,kg,T,C
2019,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,RU,UY,,,628.575,caviar,kg,T,C
2019,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,RU,UY,,,18011.46,meat,kg,T,C
2019,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,SG,UY,,48,34.01,caviar,kg,T,C
2019,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,UA,UY,,,99.724,caviar,kg,T,C
2019,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,NO,UY,,1.655,7.035,caviar,kg,T,C
2019,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,RU,UY,,,1.012,caviar,kg,T,C
2019,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,HK,CL,XX,12,,leather products (small),,T,W
2019,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,GB,CO,CO,204,,leather products (small),,T,C
2019,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,ID,GY,,9500,,live,,T,W
2019,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,JP,CO,,7,,leather products (small),,T,C
2019,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,JP,CO,,1380,,skins,,T,C
2019,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,JP,GY,,100,,live,,T,W
2019,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,JP,MX,CO,96,,leather products (small),,T,C
2019,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,JP,MX,,23,,live,,Z,C
2019,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,CA,GY,,,20,live,,T,W
2019,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,DE,GY,,45,45,live,,T,W
2019,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,DE,VE,,2400,,sides,,T,W
2019,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,DE,VE,,11645,,skins,,T,W
2019,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,FR,MX,GY,224,,leather products (small),,T,W
2019,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,IT,VE,,508,,sides,,T,W
2019,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,JP,GY,,,100,live,,T,W
2019,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,RU,GY,,,150,live,,T,W
2019,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,SG,VE,,3206,,skins,,T,W
2019,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,AE,CO,CO,,188,leather products (small),,T,C
2019,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,AE,CO,,160,,leather products (small),,T,C
2019,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,AE,CO,,,50,skins,,T,C
2019,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,AT,CO,,10,10,skins,,T,C
2019,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,BR,CO,,,18,skins,,T,C
2019,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,CA,CO,CO,,81,leather products (small),,T,C
2019,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,CN,CO,,1386,1386,skins,,T,C
2019,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,DE,CO,,5377,5377,skins,,T,C
2019,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,ES,CO,CO,1424,1427,skins,,T,C
2019,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,ES,CO,,41440,48585,skins,,T,C
2019,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,ES,MX,CO,1750,,skins,,T,C
2019,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,ES,NI,,,17,leather products (small),,T,W
2019,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,FR,CO,,44,,skins,,T,C
2019,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,GB,CO,CO,483,967,leather products (small),,T,C
2019,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,GB,CO,CO,23,,leather products (small),,T,W
